ALDH1A1	NP_000680.2
PNKP	NP_009185.2
ZIC1	NP_003403.2
GLI1	NP_005260.1
MST1	NP_066278.3
ZIC2	NP_009060.2
SUFU	NP_057253.2
STK36	NP_056505.2
SFPQ	NP_005057.1
GLI2	NP_005261.2
ZIC3	NP_003404.1
GLI3	P10071
KLK2	NP_005542.1
TWIST1	NP_000465.1
SKIL	NP_005405.2
CDC16	NP_003894.3
FZR1	NP_001129670.1
CPNE1	NP_003906.2
CPNE2	NP_689940.3
CPNE4	NP_570720.1
LIG4	NP_002303.2
ADRA1D	NP_000669.1
FLNC	NP_001449.3
KLK3	NP_001639.1
ZAP70	NP_001070.2
ITK	NP_005537.3
BLK	NP_001706.2
F5	NP_000121.2
SH3KBP1	NP_114098.1
SCN5A	NP_932173.1
INPPL1	NP_001558.3
UBE2G1	NP_003333.1
POLA1	NP_058633.2
SPRY2	NP_005833.1
EPHB6	NP_004436.2
UBE2D2	NP_003330.1
UBE2G2	NP_003334.2
CD151	NP_004348.2
ITGA3	NP_005492.1
UBE2L3	NP_003338.1
CTRC	NP_009203.2
ITGB1	NP_391987.1
SORBS1	NP_001030126.1
SLA2	NP_115590.1
PTPN22	NP_057051.3
FRS2	NP_006645.3
EIF5B	NP_056988.3
SNRPA	NP_004587.1
DNAJC1	NP_071760.2
CDKL2	NP_003939.1
UBASH3B	NP_116262.2
PGGT1B	NP_005014.2
RHOB	NP_004031.1
PDE6D	NP_002592.1
ARHGDIG	NP_001167.2
RHPN2	NP_149094.3
ARHGEF3	NP_001122087.1
ROCK1	NP_005397.1
RHOC	NP_786886.1
RTKN	NP_001015055.1
CIT	NP_009105.1
ATN1	NP_001931.2
PSMA3	NP_002779.1
RHOA	NP_001655.1
KCNA2	NP_004965.1
TGM2	NP_004604.2
FLNA	NP_001104026.1
OPHN1	NP_002538.1
MCF2	NP_001093325.1
KTN1	NP_891556.1
GIGYF1	NP_072096.2
PKN1	NP_998725.1
DGKQ	NP_001338.2
PRKACA	NP_002721.1
TRIO	NP_009049.2
ARHGDIA	NP_004300.1
PPP1R12A	NP_002471.1
CNTNAP1	NP_003623.1
PLD1	NP_002653.1
CTSB	NP_680090.1
SLPI	NP_003055.1
PKN2	NP_006247.1
ARHGAP1	NP_004299.1
AKAP13	NP_006729.4
RABAC1	NP_006414.2
ARHGEF4	NP_056135.2
ARHGEF12	NP_056128.1
CTSS	NP_004070.3
ARHGEF11	NP_937879.1
ICMT	NP_036537.1
SRGAP1	NP_065813.1
DAAM1	NP_055807.1
SH3BP1	NP_061830.3
ARHGEF2	NP_001155855.1
DEF6	NP_071330.3
GMIP	NP_057657.2
CTSL1	NP_001903.1
RAP1GDS1	NP_001093896.1
TRPC1	NP_003295.1
CNKSR1	AAH11604.1
ARHGEF18	NP_001124427.1
-	NP_001104740.1
MCF2L	NP_001106203.1
DOCK7	NP_212132.2
PSMD11	NP_002806.2
ADRA1B	NP_000670.1
RHPN1	NP_443156.2
U2AF2	NP_009210.1
OAZ1	NP_004143.1
ODC1	NP_002530.1
OAZ2	AAF99601.1
ACP5	NP_001602.1
SPP1	NP_001035147.1
ITGAV	NP_002201.1
GRN	NP_002078.1
ITGA9	NP_002198.2
PRKG1	NP_006249.1
HBG2	NP_000175.1
TTN	NP_596869.3
NBR1	NP_114064.1
CIB1	NP_006375.2
FEZ1	NP_005094.1
VAPA	NP_003565.4
OSBP	NP_002547.1
RBM4	NP_002887.2
AVP	NP_000481.2
OXTR	NP_000907.2
OXT	NP_000906.1
PCSK6	NP_612193.1
PMCH	NP_002665.2
FLG	NP_002007.1
PAX2	NP_003981.2
WT1	NP_077744.3
PAXIP1	NP_031375.3
SFRP2	NP_003004.1
HIRA	NP_003316.3
PAX7	NP_002575.1
MEOX1	NP_004518.1
PAX1	NP_006183.2
PRSS2	NP_002761.1
MEOX2	NP_005915.2
PAX5	NP_057953.1
MYB	NP_001123645.1
ID3	NP_002158.3
KPNA2	NP_002257.1
KPNA1	NP_002255.3
DAXX	NP_001135442.1
TLE4	AAH59405.1
RYR2	NP_001026.2
NKX2-1	NP_001073136.1
PAX8	NP_003457.1
SIAH1	NP_001006611.1
WBP2	NP_036610.2
PAX9	NP_006185.1
SRF	NP_003122.1
PRRX1	NP_073207.1
GTF2I	NP_127492.1
MAFG	NP_002350.1
MAFF	NP_036455.1
REG3A	NP_620355.1
REG1A	NP_002900.2
SPINK1	NP_003113.2
PLSCR1	NP_066928.1
PRSS7	NP_002763.2
NRSN1	NP_542454.3
VPS24	NP_057163.1
TRHDE	NP_037513.1
BCAT1	NP_005495.2
PPIL4	NP_624311.1
NFX1	NP_002495.2
ELAVL4	NP_001138247.1
WWP1	NP_008944.1
SERPINC1	NP_000479.1
SPG20	NP_055902.1
PTH1R	NP_000307.1
PTH	NP_000306.1
MEP1A	NP_005579.2
PTH2R	NP_005039.1
PCNA	NP_002583.1
CCND1	NP_444284.1
IFI27	NP_005523.3
SDC2	NP_002989.2
CDKN1B	NP_004055.1
MYBL2	NP_002457.1
CDK6	NP_001250.1
AKAP8	NP_005849.1
GSK3B	NP_002084.2
CCNDBP1	NP_036274.3
RBX1	NP_055063.1
THRA	NP_003241.2
THRB	NP_000452.2
ORC4L	NP_002543.2
CUL3	NP_003581.1
DMTF1	NP_066968.3
HERC5	NP_057407.2
PLG	NP_000292.1
MCM10	NP_877428.1
NPDC1	NP_056207.3
BMP4	NP_001193.2
PTHLH	NP_945316.1
SLC9A3R2	NP_001123484.1
KPNB1	NP_002256.2
CLU	NP_001822.2
PON1	NP_000437.3
JUP	NP_002221.1
DSG3	NP_001935.2
ADRA1A	NP_150646.3
F2	NP_000497.1
TAP2	NP_000535.3
TAP1	NP_000584.2
PDIA3	NP_005304.3
TAPBP	NP_757345.2
PAM	NP_000910.2
KALRN	NP_001019831.2
RASSF9	NP_005438.2
UHMK1	NP_787062.1
NUP85	NP_079120.1
VIM	NP_003371.2
DYNC1LI1	NP_057225.2
PLIN1	NP_002657.3
PRPH2	NP_000313.2
PRPH	NP_006253.2
PEX10	NP_722540.1
PEX2	NP_000309.1
ABCD3	NP_002849.1
COL6A2	NP_001840.3
ABCD1	NP_000024.2
CA2	NP_000058.1
SLC9A1	NP_003038.2
PEX19	NP_002848.1
ABCD2	NP_005155.1
PPARA	NP_001001930.1
RXRA	NP_002948.1
NCOR2	NP_006303.3
NCOR1	NP_006302.2
DUT	P33316
DAP3	NP_004623.1
MED1	NP_004765.2
PPARGC1A	NP_037393.1
GADD45B	NP_056490.2
GADD45G	NP_006696.1
MED24	NP_055630.2
NR1H3	NP_005684.2
YWHAB	NP_003395.1
AIP	NP_003968.2
NRBF2	NP_110386.2
MECR	NP_057095.2
SCYL2	NP_060458.3
SLC2A4	NP_001033.1
ACTN4	NP_004915.2
GAPDH	NP_002037.2
ACOX1	NP_004026.2
YWHAZ	NP_003397.1
PDC	NP_002588.3
MAP4K4	NP_663719.1
CAMK2A	NP_057065.2
GPC4	NP_001439.2
GPLD1	NP_001494.2
ALPP	NP_001623.3
PIGK	NP_005473.1
PRKAR1A	NP_002725.1
PDGFRB	NP_002600.1
PFN1	NP_005013.1
RAB7A	NP_004628.4
CDKN2A	NP_478102.1
NCL	NP_005372.2
CD28	NP_006130.1
CD7	NP_006128.1
GTF2H1	NP_005307.1
FES	NP_001996.1
TESC	NP_060369.2
ERBB3	NP_001973.2
TUBG1	NP_001061.2
ERAS	NP_853510.1
CSF2RA	NP_006131.2
SYN1	NP_008881.2
RRAS2	NP_036382.2
UBTF	NP_055048.1
CD3EAP	NP_036231.1
TEK	NP_000450.2
TIE1	NP_005415.1
SLC9A2	NP_003039.2
IRS2	NP_003740.2
INPP4A	NP_001127696.1
TAF1A	NP_005672.1
GHR	NP_000154.1
CTSD	NP_001900.1
RAC1	NP_061485.1
TUBA1B	NP_006073.2
IL1RAP	NP_002173.1
CAPN3	NP_000061.1
CD3E	NP_000724.1
PIK3CD	AAB53966.1
PIK3CB	NP_006210.1
IRS4	NP_003595.1
HGS	NP_004703.1
GAB1	NP_997006.1
TOM1L1	NP_005477.2
POLR1E	NP_071935.1
YWHAG	NP_036611.2
AGAP2	NP_001116244.1
PIK3AP1	NP_689522.2
PPM1A	NP_808821.2
WBP11	NP_057396.1
IFNW1	NP_002168.1
IFNAR1	NP_000620.2
ARF3	NP_001650.1
HK2	NP_000180.2
PIK3CA	NP_006209.2
GNAQ	NP_002063.2
SERPINH1	NP_001226.2
PIK3R3	NP_003620.3
IFNA2	NP_000596.2
MRAS	NP_036351.3
RASD2	AAG00868.1
GABRB1	NP_000803.2
PFKFB2	NP_006203.2
PRKAA2	NP_006243.2
PRKAA1	NP_996790.3
CFL1	NP_005498.1
DYNLL1	NP_003737.1
PFKP	NP_002618.1
IFNB1	NP_002167.1
STRN3	NP_001077362.1
MVP	NP_059447.2
PFKM	NP_000280.1
PFKL	NP_001002021.1
PDIA6	NP_005733.1
UBA52	NP_003324.1
DLD	NP_000099.2
BSG	NP_001719.2
APOA1	NP_000030.1
PDE1A	NP_005010.2
HSP90AA1	NP_001017963.2
UBE2N	NP_003339.1
KBTBD10	NP_006054.2
ARFIP1	NP_001020766.1
S100A1	NP_006262.1
PGM1	NP_002624.2
S100B	NP_006263.1
LEPRE1	NP_071751.3
ACTN1	NP_001123476.1
NAA38	NP_057284.1
PGD	NP_002622.2
MAP1S	NP_060644.4
FAR1	NP_115604.1
PSMD7	NP_002802.2
PLN	NP_002658.1
PPP1R3A	NP_002702.2
SLN	NP_003054.1
ESYT2	NP_065779.1
PLA2G2A	NP_000291.1
PLA2G1B	NP_000919.1
BGN	NP_001702.1
PLAA	NP_001026859.1
C1QTNF5	NP_056460.1
CCDC116	NP_689825.2
PLA2R1	NP_031392.3
PDGFRA	NP_006197.1
GNB2L1	NP_006089.1
NTRK1	NP_002520.2
NTRK3	NP_001012338.1
PITPNA	NP_006215.1
FKBP10	NP_068758.3
DDR1	NP_054700.2
PTPRJ	NP_002834.3
TUB	NP_003311.2
SOS2	NP_008870.2
DGKZ	Q13574
FURIN	NP_002560.1
PLD2	NP_002654.3
PICALM	NP_009097.2
DAB1	NP_066566.3
BAG3	NP_004272.2
STAT2	NP_005410.1
SNAP91	NP_055656.1
GIT1	NP_001078923.1
USO1	NP_003706.1
LAT2	NP_071323.1
TNK1	NP_003976.2
TRPM7	NP_060142.3
SOCS7	NP_055413.1
TRPC3	NP_001124170.1
IDH2	NP_002159.2
ENO1	NP_001419.1
NIT1	NP_005591.1
PHKG1	NP_006204.1
SNIP1	NP_078976.2
PHKG2	NP_000285.1
FAF1	NP_008982.1
PIAS2	NP_004662.2
HERC1	NP_003913.3
PITX1	NP_002644.4
NR1I2	NP_071285.1
PRMT1	NP_001527.3
NR1I3	NP_001070950.1
ZMYM5	NP_001136156.1
RNASE1	NP_002924.1
RNH1	NP_002930.2
SERPINB6	NP_004559.4
PROC	NP_000303.1
PLAU	NP_002649.1
F10	NP_000495.1
CANX	NP_001737.1
IFNGR1	NP_000407.1
HIPK1	NP_938009.1
APC	NP_000029.2
PTPRF	NP_002831.2
CDH1	BAA88957.1
DSC3	NP_001932.2
CTNND1	NP_001078927.1
CDH5	NP_001786.2
PKD1	NP_001009944.2
IFNGR2	NP_005525.2
TCF7L2	NP_110383.2
PTPRK	NP_001129120.1
PKP2	NP_004563.2
PTPN14	NP_005392.2
BTRC	NP_378663.1
AXIN1	NP_003493.1
SVEP1	NP_699197.3
SMAD9	BAA21128.1
SERPINE1	NP_000593.1
PLAT	NP_000921.1
IFNG	NP_000610.2
PAPPA	NP_002572.2
PRNP	NP_000302.1
SPARC	NP_003109.1
CLEC3B	NP_003269.2
THBS1	NP_003237.2
C7	NP_000578.2
JAK1	NP_002218.2
KNG1	NP_001095886.1
SERPINF2	NP_000925.2
AMOT	NP_001106962.1
PCOLCE	NP_002584.2
LAMA3	NP_937762.1
F2RL1	NP_005233.3
SERPINI1	NP_005016.1
CPB2	NP_001863.2
DEK	NP_003463.1
TFAP2A	NP_003211.1
SERPINB13	NP_036529.1
SERPING1	NP_000053.2
CHGA	NP_001266.1
NGF	NP_002497.2
TFPI2	NP_006519.1
RUVBL1	NP_003698.1
CDCP1	NP_073753.3
PRPF40A	NP_060362.3
CASP1	NP_150634.1
MMP3	NP_002413.1
VTN	NP_000629.3
LRP2	NP_004516.2
LRP1B	NP_061027.2
YBX1	NP_004550.2
SERPINA5	NP_000615.3
CKAP4	NP_006816.2
SERPINB2	NP_002566.1
IRF3	NP_001562.1
PLAUR	NP_002650.1
FAP	NP_004451.2
MMP12	NP_002417.2
ARR3	NP_004303.2
PTAFR	NP_000943.1
RGS4	NP_001095915.1
TP53	NP_000537.3
ITGB3	NP_000203.2
EIF2AK2	NP_002750.1
PTPN1	NP_002818.1
PDGFB	NP_002599.1
COPB1	NP_057535.1
SNX1	NP_003090.2
BAG1	NP_004314.4
GRB14	NP_004481.2
COPA	NP_001091868.1
S1PR1	NP_001391.2
NCK2	NP_003572.2
PDAP1	NP_055706.1
CASP6	NP_001217.2
PTPN2	NP_002819.1
SNX2	NP_003091.2
SNX4	NP_003785.1
PDGFD	NP_079484.1
PDGFA	NP_002598.4
DUSP3	NP_004081.1
BAT3	NP_004630.3
PF4	NP_002610.1
THBD	NP_000352.1
WWP2	NP_008945.2
CXCR3	AAP55851.1
LDLR	NP_000518.1
PIR	NP_003653.1
TLN1	NP_006280.3
MAGI1	NP_001028229.1
P2RY2	NP_788086.1
EPS8	NP_004438.3
ILK	NP_004508.1
LRP5	NP_002326.2
NUMB	NP_001005743.1
PDPK1	NP_002604.1
ITGA2B	NP_000410.2
ITGB3BP	NP_055103.3
ANGPTL3	NP_055310.1
TENC1	NP_056134.2
ACHE	NP_056646.1
CITED2	NP_006070.2
CAV1	NP_001744.2
PDGFC	NP_057289.1
SNX6	NP_689419.2
LDLRAP1	NP_056442.2
MLL2	NP_003473.3
GP1BA	NP_000164.4
GP5	NP_004479.1
CITED4	NP_597724.1
GP9	NP_000165.1
SELP	NP_002996.2
SELPLG	Q14242
AP1M1	NP_001123996.1
SNX17	NP_055563.1
PVR	NP_006496.3
DYNLT3	NP_006511.1
AP1M2	NP_005489.2
EPN2	NP_055779.2
PVRL1	NP_002846.3
PVRL3	NP_056295.1
CD226	NP_006557.2
PARP1	NP_001609.2
RPS3A	NP_000997.1
APOC1	NP_001636.1
APOA2	NP_001634.1
XRCC1	NP_006288.2
CPXM2	NP_937791.2
ODZ3	NP_001073946.1
EXPH5	NP_055880.2
BUB3	NP_004716.1
APOD	NP_001638.1
ZNF423	NP_055884.2
WRN	NP_000544.2
NCOA6	NP_054790.2
APTX	NP_778243.1
RPS7	NP_001002.1
XRCC5	NP_066964.1
PARP2	Q9UGN5
SWAP70	NP_055870.2
RBM14	NP_006319.1
SFRS12	NP_001070667.1
APOF	NP_001629.1
RFX1	NP_002909.4
RAB3B	NP_002858.2
PIGR	NP_002635.2
CCL5	NP_002976.2
LEMD3	NP_055134.2
PKD2	NP_000288.1
DIAPH1	NP_005210.3
C4A	NP_009224.2
TNNI3	NP_000354.4
HAX1	NP_006109.2
SSBP1	NP_003134.1
POLG	NP_002684.1
CSNK1E	NP_001885.1
PPP2R5A	NP_006234.1
KIFAP3	NP_055785.2
PLTP	NP_006218.1
BUB1	NP_004327.1
MAPRE1	NP_036457.1
RP1	NP_006260.1
AXIN2	NP_004646.3
DLGAP1	NP_004737.2
KCNE1	NP_000210.2
KCNQ1	NP_000209.2
APOA1BP	NP_658985.2
KCNA4	NP_002224.1
PTPRA	NP_002827.1
KCNAB1	NP_751892.1
KCNAB2	NP_003627.1
ZSCAN4	NP_689890.1
KCNA5	NP_002225.2
KCNA3	NP_002223.3
MAP2K4	NP_003001.1
APOA4	NP_000473.2
E4F1	NP_004415.2
DLG2	NP_001136171.1
SNTG1	NP_061840.1
RBP4	NP_006735.2
TTR	NP_000362.1
PRG2	NP_002719.3
KIAA0226	NP_055502.1
SECISBP2	NP_076982.3
PFN2	NP_444252.1
VASP	NP_003361.1
DNM1	NP_004399.2
FHOD1	NP_037373.2
ARNT	NP_001659.1
CALR	NP_004334.1
APOB	NP_000375.2
ATF7IP	NP_060649.3
DNM2	NP_001005360.1
RRBP1	NP_004578.2
WASF1	NP_003922.1
WASL	NP_003932.3
RHOQ	NP_036381.2
FMNL1	NP_005883.2
XPO6	NP_055986.1
ENAH	NP_001008493.1
APBB1IP	NP_061916.3
WIPF2	NP_573571.1
PSG3	NP_066296.2
KRT7	NP_005547.3
L1CAM	NP_000416.1
NCAM2	NP_004531.2
APBB1	NP_001155.1
PPIB	NP_000933.1
ADAM23	NP_003803.1
STIP1	NP_006810.1
SPARCL1	NP_004675.3
P4HB	NP_000909.2
CNTN1	NP_001834.2
OPCML	NP_002536.1
LSAMP	NP_002329.2
CLSTN1	NP_001009566.1
MOG	NP_002424.3
HSPA5	NP_005338.1
ERI3	NP_076971.1
PHB	NP_002625.1
RBL2	NP_005602.3
E2F1	NP_005216.1
SMARCA2	NP_003061.3
MAP3K10	NP_002437.2
SMARCA4	NP_001122321.1
HSPA1A	NP_005336.3
SIN3A	NP_056292.1
COL4A2	NP_001837.2
ZNF484	NP_113674.1
IGFBP7	NP_001544.1
HLA-DQB1	NP_002114.3
HLA-DQA2	NP_064440.1
TXNDC17	NP_116120.1
RPA1	NP_002936.1
PTMA	NP_001092755.1
FEN1	NP_004102.1
RFC2	NP_852136.1
SUB1	NP_006704.3
CDKN1C	NP_000067.1
MSH3	AAB47281.1
LIPC	NP_000227.2
CHAF1A	NP_005474.2
ING1	NP_005528.3
CDC6	NP_001245.1
HUS1	NP_004498.1
RAD9A	NP_004575.1
POLH	NP_006493.1
MTTP	NP_000244.2
MUTYH	NP_001121897.1
CCNO	NP_066970.3
APEX2	NP_055296.2
POLE	NP_006222.2
MSH6	NP_000170.1
POLB	NP_002681.1
SGCD	NP_000328.2
HSP90B1	NP_003290.1
MCL1	NP_068779.1
ZNF587	NP_116217.1
DNTT	NP_004079.3
POLL	NP_037406.1
DNTTIP2	NP_055412.2
POLD3	NP_006582.1
KCTD13	NP_849194.1
CHTF18	NP_071375.1
DSCC1	NP_076999.2
